ACC	GENDER
SRR15272294	female
SRR15272295	female
SRR15272296	male
SRR15272297	female
SRR15272299	female
SRR15272300	male
SRR15272301	female
SRR15272302	male
SRR15272303	male
SRR15272305	female
SRR15272310	male
SRR15272312	female
SRR15272324	male
SRR15272325	male
SRR15272329	female
SRR15272332	male
SRR15272333	male
SRR15272338	female
SRR15272344	male
SRR15272349	male
SRR15272352	female
SRR15272365	female
SRR15272375	female
SRR15272377	female
SRR15272381	female
SRR15272392	male
SRR15272393	female
SRR15272394	female
SRR15272395	male
SRR15272397	female
SRR15272398	female
SRR15272399	female
SRR15272400	female
SRR15272401	male
SRR15272402	female
SRR15272403	female
SRR15272404	male
SRR15272405	female
SRR15272406	male
SRR15272407	female
SRR15272408	male
SRR15272409	female
SRR15272410	male
SRR15272411	female
SRR15272412	female
SRR15272413	male
SRR15272416	female
SRR15272417	female
SRR15272418	female
SRR15272419	female
SRR15272420	female
SRR15272421	female
SRR15272422	female
SRR15272423	male
SRR15272424	female
SRR15272425	male
SRR15272426	male
SRR15272427	male
SRR15272428	male
SRR15272429	female
SRR15272430	male
SRR15272431	female
SRR15272432	female
SRR15272433	male
SRR15272437	female
SRR15272438	female
SRR15272441	female
SRR15272442	male
SRR15272443	male
SRR15272444	male
SRR15272445	male
SRR15272446	male
SRR15272447	male
SRR15272448	male
SRR15272449	male
SRR15272450	male
SRR15272451	female
SRR15272452	female
SRR15272453	male
SRR15272454	female
SRR15272455	female
SRR15272456	male
SRR15272458	male
SRR15272459	male
SRR15272460	female
SRR15272461	male
SRR15272462	female
SRR15272463	female
SRR15272464	female
SRR15272466	female
SRR15272470	female
SRR15272485	female
SRR15272504	female
SRR15272505	male
SRR15272506	female
SRR15272507	female
SRR15272508	male
SRR15272509	male
SRR15272511	female
SRR15272517	female
SRR15272518	female
SRR15272523	male
SRR15272526	male
SRR15272532	female
SRR15272540	female
SRR15272545	male
SRR15271951	female
SRR15271953	male
SRR15271954	male
SRR15271955	female
SRR15271956	male
SRR15271958	male
SRR15271959	female
SRR15271960	male
SRR15271961	female
SRR15271962	female
SRR15271963	male
SRR15271964	male
SRR15271966	male
SRR15271967	male
SRR15271970	female
SRR15271971	female
SRR15271972	male
SRR15271977	female
SRR15271978	female
SRR15271982	male
SRR15271991	female
SRR15271999	female
SRR15272002	female
SRR15272004	male
SRR15272006	male
SRR15272007	female
SRR15272017	female
SRR15272020	male
SRR15272034	male
