ACC	GISAID
SRR14773829	EPI_ISL_812500
SRR14773830	EPI_ISL_812499
SRR14773831	EPI_ISL_812498
SRR14773832	EPI_ISL_812497
SRR14773833	EPI_ISL_812457
SRR14773834	EPI_ISL_812496
SRR14773835	EPI_ISL_812495
SRR14773836	EPI_ISL_812494
SRR14773837	EPI_ISL_812493
SRR14773838	EPI_ISL_812492
SRR14773839	EPI_ISL_812491
SRR14773840	EPI_ISL_812490
SRR14773841	EPI_ISL_812716
SRR14773842	EPI_ISL_812489
SRR14773843	EPI_ISL_812488
SRR14773844	EPI_ISL_812456
SRR14773845	EPI_ISL_812487
SRR14773846	EPI_ISL_812486
SRR14773847	EPI_ISL_812485
SRR14773848	EPI_ISL_812484
SRR14773849	EPI_ISL_812483
SRR14773850	EPI_ISL_812482
SRR14773851	EPI_ISL_812481
SRR14773852	EPI_ISL_812480
SRR14773853	EPI_ISL_812479
SRR14773854	EPI_ISL_812478
SRR14773855	EPI_ISL_812455
SRR14773856	EPI_ISL_812715
SRR14773857	EPI_ISL_812477
SRR14773858	EPI_ISL_812476
SRR14773859	EPI_ISL_812714
SRR14773860	EPI_ISL_812475
SRR14773861	EPI_ISL_812474
SRR14773862	EPI_ISL_812473
SRR14773863	EPI_ISL_812472
SRR14773864	EPI_ISL_812471
SRR14773865	EPI_ISL_812713
SRR14773866	EPI_ISL_812454
SRR14773867	EPI_ISL_812712
SRR14773868	EPI_ISL_812470
SRR14773869	EPI_ISL_812469
SRR14773870	EPI_ISL_812468
SRR14773871	EPI_ISL_812467
SRR14773872	EPI_ISL_812466
SRR14773873	EPI_ISL_812465
SRR14773874	EPI_ISL_812464
SRR14773875	EPI_ISL_1629808
SRR14773876	EPI_ISL_1629798
SRR14773877	EPI_ISL_1629798
SRR14773878	EPI_ISL_1629797
SRR14773879	EPI_ISL_1629797
SRR14773880	EPI_ISL_1629794
SRR14773881	EPI_ISL_1629794
SRR14773882	EPI_ISL_812463
SRR14773883	EPI_ISL_1629793
SRR14773884	EPI_ISL_1629793
SRR14773885	EPI_ISL_1629791
SRR14773886	EPI_ISL_1629791
SRR14773887	EPI_ISL_1629789
SRR14773888	EPI_ISL_1629789
SRR14773889	EPI_ISL_1629786
SRR14773890	EPI_ISL_1629786
SRR14773891	EPI_ISL_1629785
SRR14773892	EPI_ISL_1629785
SRR14773893	EPI_ISL_812462
SRR14773894	EPI_ISL_812453
SRR14773895	EPI_ISL_812452
SRR14769712	EPI_ISL_2332820
SRR14769713	EPI_ISL_2332819
SRR14769714	EPI_ISL_2332818
SRR14769715	EPI_ISL_2332817
SRR14769716	EPI_ISL_2332816
SRR14769717	EPI_ISL_2332815
SRR14769718	EPI_ISL_2332814
SRR14769719	EPI_ISL_2382542
SRR14769720	EPI_ISL_2400392
SRR14769721	EPI_ISL_2400391
SRR14769722	EPI_ISL_2400390
SRR14769723	EPI_ISL_2400389
SRR14769724	EPI_ISL_2400388
SRR14769725	EPI_ISL_2400387
SRR14769726	EPI_ISL_2332831
SRR14769727	EPI_ISL_2332830
SRR14769728	EPI_ISL_2332813
SRR14769729	EPI_ISL_2332829
SRR14769730	EPI_ISL_2332828
SRR14769731	EPI_ISL_2332827
SRR14769732	EPI_ISL_2375499
SRR14769733	EPI_ISL_2332826
SRR14769734	EPI_ISL_2332825
SRR14769735	EPI_ISL_2332824
SRR14769736	EPI_ISL_2332823
SRR14769737	EPI_ISL_2332822
