ACC	AGE
SRR15288590	72
SRR15288593	19
SRR15288594	53
SRR15288596	43
SRR15288597	37
SRR15288599	14
SRR15288600	72
SRR15288658	36
SRR15288667	28
SRR15288668	33
SRR15288701	29
SRR15288714	25
SRR15288716	32
SRR15288717	31
SRR15288718	46
SRR15288719	20
SRR15288751	66
SRR15288785	21
SRR15288801	18
SRR15288802	17
SRR15288831	20
SRR15288219	49
SRR15288220	32
SRR15288221	57
SRR15288299	33
SRR15288302	48
SRR15288305	26
SRR15288313	14
SRR15288314	32
SRR15288316	50
SRR15288490	77
SRR15288528	26
SRR15288529	41
SRR15288530	35
SRR15288532	55
SRR15287407	63
SRR15287408	32
SRR15287409	49
SRR15287411	36
SRR15287412	41
SRR15287413	6
SRR15287414	34
SRR15287415	12
SRR15287416	29
SRR15287417	17
SRR15287418	60
SRR15287419	47
SRR15287420	9
SRR15287421	4
SRR15287422	5
SRR15287424	10
SRR15287244	22
SRR15287260	35
SRR15287145	48
SRR15287149	20
SRR15287150	47
SRR15287151	24
SRR15287152	29
SRR15287153	26
SRR15287154	46
SRR15286591	43
SRR15286729	50
SRR15286730	25
SRR15286731	24
SRR15286732	14
SRR15286733	31
SRR15286734	1
SRR15286735	34
SRR15286736	26
SRR15286737	17
SRR15286738	31
SRR15286741	3
SRR15286742	3
SRR15286766	22
SRR15286768	31
SRR15286789	36
SRR15286800	21
SRR15286818	57
SRR15286833	55
SRR15286891	24
SRR15286224	36
SRR15286225	48
SRR15286246	45
SRR15286299	34
SRR15286303	9
SRR15286426	57
SRR15286428	19
SRR15286429	54
SRR15286443	32
SRR15286455	47
SRR15286483	22
SRR15286496	30
SRR15286501	18
SRR15285886	35
SRR15285887	60
SRR15285893	24
SRR15285895	78
SRR15285896	59
SRR15285897	28
SRR15285898	14
SRR15285899	30
SRR15285900	37
SRR15285902	20
SRR15285903	63
SRR15285905	9
SRR15285906	34
SRR15285907	2
SRR15285908	53
SRR15285909	35
SRR15285910	26
SRR15285912	4
SRR15285944	21
SRR15285954	12
SRR15285959	49
SRR15285963	29
SRR15285411	33
SRR15285480	30
SRR15285481	3
SRR15285493	34
SRR15285182	33
SRR15285226	3
SRR15285227	36
SRR15285229	78
SRR15285303	44
SRR15285304	45
SRR15285313	16
SRR15285315	10
SRR15285339	37
SRR15284826	23
SRR15284827	26
SRR15284828	19
SRR15284853	50
SRR15284856	24
SRR15284860	45
SRR15284862	40
SRR15284898	10
SRR15284953	45
SRR15284954	26
SRR15284955	21
SRR15284956	55
SRR15284957	21
SRR15284958	62
SRR15284959	26
SRR15284960	35
SRR15284963	29
